Secondary Subject,Level,School Equity Index Group,Academic Year,Provider Count,Students Assessed in 1+ Credits Count,Students Assessed in 1+ Credits Rate,Students Assessed in 14+ Credits Count,Students Assessed in 14+ Credits Rate,Assessed Count,Not Achieved Rate,Achieved Rate,Merit Rate,Excellence Rate,Not Achieved Count,Achieved Count,Merit Count,Excellence Count,Cohort Warning
Agribusiness,Level 2,Fewer,2022,15,292,0.016,61,0.004,507,0.095,0.308,0.296,0.302,48,156,150,153,
Agribusiness,Level 2,Fewer,2023,13,301,0.015,43,0.003,468,0.109,0.34,0.246,0.306,51,159,115,143,
Agribusiness,Level 2,Fewer,2024,17,362,0.017,45,0.003,556,0.09,0.317,0.291,0.302,50,176,162,168,
Agribusiness,Level 2,Moderate,2019,33,586,0.016,50,0.002,799,0.249,0.322,0.255,0.174,199,257,204,139,
Agribusiness,Level 2,Moderate,2020,35,828,0.023,30,0.001,1114,0.183,0.306,0.293,0.218,204,341,326,243,
Agribusiness,Level 2,Moderate,2021,44,993,0.028,59,0.002,1444,0.226,0.312,0.261,0.2,327,451,377,289,
Agribusiness,Level 2,Moderate,2022,49,1004,0.03,34,0.001,1430,0.209,0.352,0.241,0.198,299,504,344,283,
Agribusiness,Level 2,Moderate,2023,47,1163,0.032,28,0.001,1583,0.204,0.379,0.222,0.195,323,600,352,308,
Agribusiness,Level 2,Moderate,2024,51,1207,0.031,35,0.001,1609,0.182,0.369,0.273,0.176,293,594,439,283,
Agribusiness,Level 2,More,2019,5,55,0.005,1,0,76,0.158,0.526,0.132,0.184,12,40,10,14,
Agribusiness,Level 2,More,2020,6,74,0.007,0,0,90,0.278,0.411,0.189,0.122,25,37,17,11,
Agribusiness,Level 2,More,2021,6,52,0.005,0,0,61,0.18,0.508,0.23,0.082,11,31,14,5,
Agribusiness,Level 2,More,2022,6,59,0.006,0,0,64,0.422,0.234,0.188,0.156,27,15,12,10,
